Id;Namn;Dag 1;Dag 2;Dag 180;Dag 181;Dag 365;Dag 366
3628;MXC;2018-12-07;2018-12-08;2019-06-05;2019-06-06;2019-12-07;2019-12-08
4892;Marshal Lion Group Coin;2019-12-24;2019-12-25;2020-06-21;2020-06-22;2020-12-23;2020-12-24
2245;Presearch;2017-12-05;2017-12-06;2018-06-03;2018-06-04;2018-12-05;2018-12-06
7200;Bidao;2020-09-27;2020-09-28;2021-03-26;2021-03-27;2021-09-27;2021-09-28
4283;BitForex;2019-08-31;2019-09-01;2020-02-27;2020-02-28;2020-08-30;2020-08-31
1680;Aragon;2017-05-18;2017-05-19;2017-11-14;2017-11-15;2018-05-18;2018-05-19
2064;Maecenas;2017-10-18;2017-10-19;2018-04-16;2018-04-17;2018-10-18;2018-10-19
2861;GoChain;2018-06-13;2018-06-14;2018-12-10;2018-12-11;2019-06-13;2019-06-14
5278;JOYS;2020-03-06;2020-03-07;2020-09-02;2020-09-03;2021-03-06;2021-03-07
4991;Lightstreams;2020-09-08;2020-09-09;2021-03-07;2021-03-08;2021-09-08;2021-09-09
3987;BELDEX;2019-06-07;2019-06-08;2019-12-04;2019-12-05;2020-06-06;2020-06-07
1392;Plutus;2016-09-17;2016-09-18;2017-03-16;2017-03-17;2017-09-17;2017-09-18
4262;UltrAlpha;2019-12-26;2019-12-27;2020-06-23;2020-06-24;2020-12-25;2020-12-26
2299;aelf;2017-12-21;2017-12-22;2018-06-19;2018-06-20;2018-12-21;2018-12-22
3842;Caspian;2019-04-05;2019-04-06;2019-10-02;2019-10-03;2020-04-04;2020-04-05
5801;Nokenchain;2020-07-02;2020-07-03;2020-12-29;2020-12-30;2021-07-02;2021-07-03
5277;Synchrobit;2020-03-06;2020-03-07;2020-09-02;2020-09-03;2021-03-06;2021-03-07
1974;Propy;2017-09-19;2017-09-20;2018-03-18;2018-03-19;2018-09-19;2018-09-20
5204;CitiOS;2020-02-05;2020-02-06;2020-08-03;2020-08-04;2021-02-04;2021-02-05
2400;OneRoot;2018-01-15;2018-01-16;2018-07-14;2018-07-15;2019-01-15;2019-01-16
2136;Atlant;2017-11-01;2017-11-02;2018-04-30;2018-05-01;2018-11-01;2018-11-02
2620;Switcheo Network;2018-04-02;2018-04-03;2018-09-29;2018-09-30;2019-04-02;2019-04-03
